;Канал: 0;Канал: 1;
56;0,5884;-0,5371;
57;0,5884;-0,4468;
57;0,5786;-0,3784;
57;0,5688;-0,2783;
57;0,5371;-0,1978;
57;0,5371;-0,1001;
57;0,5371;-0,0195;
57;0,5078;0,0708;
57;0,4980;0,1587;
57;0,4980;0,2490;
57;0,5078;0,3296;
58;0,4688;0,4175;
58;0,4395;0,4785;
58;0,4395;0,5591;
58;0,4395;0,6372;
58;0,3687;0,6982;
58;0,3589;0,7764;
58;0,3589;0,8276;
58;0,3296;0,8960;
58;0,2881;0,9570;
58;0,2783;1,0156;
59;0,2490;1,0767;
59;0,2295;1,1353;
59;0,2197;1,1841;
59;0,1489;1,2549;
59;0,1392;1,2939;
59;0,0806;1,3354;
59;0,0806;1,3745;
59;0,0513;1,4233;
59;0,0293;1,4648;
59;0,0098;1,5234;
60;-0,0098;1,5723;
60;-0,0488;1,6138;
60;-0,0586;1,6626;
60;-0,1001;1,6821;
60;-0,1099;1,7627;
60;-0,1099;1,8018;
60;-0,1392;1,8408;
60;-0,1685;1,8823;
60;-0,1880;1,9214;
60;-0,1880;1,9409;
61;-0,2173;1,9604;
61;-0,2490;1,9824;
61;-0,2588;2,0313;
61;-0,2686;2,0508;
61;-0,2881;2,0801;
61;-0,2881;2,1118;
61;-0,3271;2,1411;
61;-0,2979;2,1704;
61;-0,3271;2,1704;
61;-0,3467;2,1899;
62;-0,3589;2,2314;
62;-0,3467;2,2607;
62;-0,3467;2,2705;
62;-0,3784;2,2803;
62;-0,3979;2,3193;
62;-0,4077;2,3291;
62;-0,4077;2,3608;
62;-0,4077;2,3804;
62;-0,3979;2,4097;
62;-0,4077;2,4487;
63;-0,4370;2,4780;
63;-0,4468;2,5098;
63;-0,4370;2,5684;
63;-0,4565;2,5781;
63;-0,4663;2,6294;
63;-0,4883;2,6489;
63;-0,4980;2,6782;
63;-0,5176;2,6880;
63;-0,5078;2,6880;
63;-0,5078;2,6685;
64;-0,5469;2,6587;
64;-0,4980;2,6392;
64;-0,5176;2,6196;
64;-0,5078;2,5293;
64;-0,5078;2,4683;
64;-0,4980;2,4194;
64;-0,5371;2,3608;
64;-0,5078;2,2900;
64;-0,5176;2,2412;
64;-0,5273;2,1899;
65;-0,5078;2,1118;
65;-0,5176;2,0703;
65;-0,4980;2,0117;
65;-0,5078;1,9507;
65;-0,5078;1,8921;
65;-0,5078;1,8213;
65;-0,4980;1,7529;
65;-0,4883;1,6821;
65;-0,5176;1,6040;
65;-0,4980;1,5234;
66;-0,4883;1,4331;
66;-0,4761;1,3354;
66;-0,4980;1,2354;
66;-0,4761;1,1450;
66;-0,4980;1,0254;
66;-0,4761;0,9351;
66;-0,4663;0,8276;
66;-0,4663;0,7373;
66;-0,4663;0,6470;
66;-0,4468;0,5469;
67;-0,4565;0,4688;
67;-0,4468;0,3687;
67;-0,4077;0,2783;
67;-0,4468;0,1904;
67;-0,4272;0,0903;
67;-0,3979;0,0000;
67;-0,3979;-0,0781;
67;-0,3979;-0,1587;
67;-0,3979;-0,2490;
67;-0,3589;-0,3369;
68;-0,3467;-0,4272;
68;-0,3369;-0,4883;
68;-0,3369;-0,5664;
68;-0,2979;-0,6470;
68;-0,2783;-0,6958;
68;-0,2295;-0,7568;
68;-0,2295;-0,8252;
68;-0,1978;-0,8960;
68;-0,1880;-0,9644;
68;-0,1392;-1,0254;
69;-0,1099;-1,0840;
69;-0,0684;-1,1450;
69;-0,0488;-1,2134;
69;-0,0098;-1,2427;
69;-0,0098;-1,3037;
69;0,0098;-1,3623;
69;0,0195;-1,3940;
69;0,0903;-1,4429;
69;0,0708;-1,4819;
69;0,1196;-1,5527;
70;0,1099;-1,5918;
70;0,1807;-1,6211;
70;0,1709;-1,6724;
70;0,1904;-1,7114;
70;0,2295;-1,7505;
70;0,2490;-1,8018;
70;0,2686;-1,8506;
70;0,3101;-1,8701;
70;0,3003;-1,9214;
70;0,3296;-1,9409;
71;0,3589;-1,9897;
71;0,3491;-2,0288;
71;0,3784;-2,0288;
71;0,3979;-2,0703;
71;0,3979;-2,0898;
71;0,4175;-2,0996;
71;0,4395;-2,1387;
71;0,4395;-2,1606;
71;0,4590;-2,1802;
71;0,4590;-2,2192;
72;0,4980;-2,2388;
72;0,5176;-2,2388;
72;0,5078;-2,2583;
72;0,5273;-2,2900;
72;0,5176;-2,2998;
72;0,5371;-2,3291;
72;0,5469;-2,3779;
72;0,5469;-2,3779;
72;0,5591;-2,4194;
72;0,5591;-2,4487;
